?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
504.000014,1.211769,0.713728,0.341889,0.281169,0.928660,0.605875,0.038427,1.106009,0.555844,0.337958,0.884244,0.685257,0.998720,0.594886,0.356026,0.531434
505.000014,1.253111,0.711287,0.334279,0.330101,0.933105,0.649951,0.143704,1.094673,0.570441,0.325503,0.891464,0.674579,1.021982,0.619588,0.363822,0.520594
506.000014,1.273087,0.714475,0.339836,0.361682,0.921021,0.605045,0.140141,1.104720,0.574420,0.336151,0.938800,0.679098,1.021998,0.628485,0.366172,0.537205
507.000014,1.296644,0.711822,0.345324,0.352572,0.929170,0.604162,0.269684,1.102474,0.556954,0.372372,0.952778,0.726998,1.020788,0.654812,0.357663,0.538387
508.000014,1.316018,0.749809,0.365208,0.284724,0.963090,0.551561,0.488999,1.152019,0.552541,0.382555,0.978720,0.744531,1.017534,0.653741,0.350310,0.560585
509.000014,1.356839,0.759474,0.371724,0.249971,1.013733,0.548835,0.923617,1.184547,0.553393,0.411350,0.982265,0.751181,1.018772,0.672217,0.356403,0.552252
510.000014,1.384367,0.755054,0.376179,0.191635,1.036293,0.577954,0.449777,1.212270,0.593845,0.367159,0.988946,0.717118,1.034693,0.690903,0.374299,0.549495
511.000014,1.382435,0.729405,0.347665,0.192330,1.014551,0.633106,0.117049,1.213666,0.621463,0.383200,0.996250,0.728796,1.052477,0.683357,0.386234,0.542075
512.000014,1.374096,0.725025,0.348013,0.194996,0.997391,0.659826,0.120249,1.205186,0.598551,0.365366,1.005144,0.757252,1.081765,0.695989,0.382431,0.549303
513.000014,1.383659,0.750474,0.355538,0.225753,0.976556,0.625909,0.413811,1.181416,0.583718,0.385264,0.998036,0.804046,1.082156,0.683396,0.366479,0.547921
514.000014,1.403939,0.784426,0.368946,0.239977,0.994789,0.595403,0.772260,1.194229,0.581198,0.356664,1.000443,0.804492,1.093120,0.675597,0.349993,0.560856
515.000014,1.419979,0.790725,0.370862,0.293783,1.009929,0.651563,0.418969,1.211934,0.610737,0.441145,1.012742,0.793257,1.060722,0.671010,0.347379,0.552951
516.000014,1.408314,0.781251,0.361998,0.316390,1.025942,0.710453,0.453196,1.241743,0.651599,0.623295,1.043585,0.774191,1.069153,0.673921,0.367040,0.561366
517.000014,1.425749,0.761187,0.352222,0.387772,1.038352,0.769178,0.512571,1.247803,0.652461,0.660741,1.058948,0.775343,1.084915,0.708255,0.368619,0.568959
518.000014,1.453040,0.783098,0.357488,0.377974,1.045139,0.662685,0.795492,1.259831,0.645688,0.577668,1.061657,0.787246,1.104428,0.711893,0.389113,0.566303
519.000014,1.499577,0.805824,0.373095,0.361847,1.069329,0.640355,0.784634,1.272067,0.638425,0.415318,1.077042,0.791838,1.124389,0.741606,0.393252,0.563269
520.000014,1.531513,0.822434,0.381392,0.313174,1.090218,0.601877,0.809107,1.302895,0.655436,0.392197,1.086483,0.807749,1.144491,0.727609,0.399111,0.563491
521.000014,1.546305,0.836477,0.381664,0.283664,1.128255,0.645029,0.510069,1.353187,0.698587,0.568188,1.110911,0.812163,1.138015,0.717123,0.389506,0.591020
522.000014,1.558684,0.849826,0.382604,0.281230,1.155984,0.645074,0.526683,1.386086,0.709530,0.701190,1.121586,0.843411,1.148834,0.693450,0.396113,0.600203
523.000014,1.551873,0.860492,0.399135,0.267267,1.177566,0.649794,0.393378,1.433196,0.723438,0.821854,1.166008,0.865277,1.139639,0.708059,0.416567,0.595265
524.000014,1.555599,0.836548,0.396342,0.297136,1.168711,0.682720,0.702516,1.444322,0.739168,0.800633,1.197597,0.876036,1.201051,0.736343,0.423476,0.590155
525.000014,1.553667,0.821422,0.387426,0.279937,1.158621,0.700299,0.414544,1.452857,0.732494,0.680167,1.216052,0.894478,1.219515,0.774960,0.416031,0.588388
526.000014,1.573838,0.813275,0.372500,0.295694,1.168424,0.708832,0.115994,1.450437,0.730469,0.592265,1.237698,0.910964,1.224859,0.809419,0.396075,0.599847
527.000014,1.603933,0.849486,0.367186,0.288148,1.204393,0.689062,-0.087218,1.473458,0.734281,0.583474,1.231488,0.928114,1.182703,0.781979,0.394640,0.594138
528.000014,1.629073,0.871651,0.372830,0.306337,1.228809,0.698065,-0.147015,1.494856,0.767047,0.577268,1.251150,0.904919,1.178160,0.778226,0.410556,0.603017
529.000014,1.625735,0.905742,0.388056,0.287497,1.247405,0.699750,-0.094423,1.487577,0.782205,0.699169,1.215988,0.887184,1.185461,0.767918,0.436829,0.605310
530.000014,1.630364,0.915099,0.402714,0.264188,1.236304,0.687751,0.136092,1.480256,0.791301,0.584675,1.240651,0.886354,1.222697,0.816172,0.442120,0.610816
530.500026,1.609820,0.914485,0.412371,0.271163,1.240257,0.670418,0.152333,1.489055,0.768291,0.572512,1.251061,0.910866,1.246424,0.827242,0.425970,0.607590
531.000026,1.621019,0.912970,0.412324,0.308755,1.241679,0.664304,0.101050,1.499579,0.776174,0.428333,1.280086,0.948067,1.247797,0.836547,0.406063,0.614424
531.500026,1.621424,0.908001,0.403978,0.347555,1.270497,0.663444,0.166135,1.533674,0.768140,0.446832,1.276264,0.948202,1.253643,0.813981,0.408899,0.616349
532.000026,1.620278,0.914313,0.385573,0.345619,1.287279,0.680860,0.469959,1.542055,0.810080,0.461714,1.281334,0.943798,1.235294,0.821483,0.419089,0.622412
532.500026,1.623552,0.924688,0.387919,0.336152,1.318929,0.690100,0.920496,1.572777,0.815681,0.504452,1.298728,0.916608,1.254057,0.830483,0.437171,0.606144
533.000026,1.620469,0.928637,0.387499,0.321549,1.323356,0.713353,0.798296,1.571035,0.831114,0.485308,1.315282,0.912552,1.267476,0.854935,0.441446,0.618360
