?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],A 1.eps1 [%],C1.eps1 [%],A 1.dY [mm],C1.dY [mm]
489.000014,0.315769,0.224260,0.308627,0.282601,0.326722,0.211506,0.253326,0.373221,0.249237,0.276054,0.211957,0.165048,5.682690,5.681391
490.000014,0.331969,0.224157,0.307041,0.286970,0.328450,0.204720,0.253321,0.361345,0.265862,0.267366,0.222042,0.167788,5.693569,5.692166
491.000014,0.339493,0.234092,0.293356,0.317628,0.306601,0.207691,0.265267,0.350620,0.276119,0.260232,0.223312,0.167115,5.703249,5.701872
492.000014,0.336953,0.246795,0.302161,0.328307,0.294129,0.195422,0.246356,0.356375,0.254481,0.257144,0.235897,0.174580,5.711964,5.710487
493.000014,0.356613,0.233755,0.301305,0.293745,0.263439,0.176013,0.242500,0.341264,0.224625,0.252288,0.239714,0.175293,5.719681,5.718113
494.000014,0.345584,0.217929,0.302102,0.267007,0.275130,0.147968,0.254114,0.335103,0.229485,0.270547,0.244239,0.168370,5.726443,5.724695
495.000014,0.355264,0.202126,0.282183,0.251520,0.263988,0.148260,0.270309,0.324114,0.246171,0.286663,0.238841,0.155213,5.732140,5.730317
496.000014,0.343435,0.215879,0.291947,0.277414,0.261181,0.158025,0.273503,0.308550,0.260462,0.292785,0.237326,0.154165,5.738198,5.736361
497.000014,0.349151,0.229177,0.324729,0.303042,0.248304,0.191152,0.266756,0.305037,0.244691,0.266928,0.227009,0.164983,5.745931,5.744162
498.000014,0.361511,0.246161,0.326003,0.296609,0.248133,0.197282,0.233183,0.285571,0.231424,0.242421,0.214514,0.178355,5.756308,5.754448
499.000014,0.366194,0.240515,0.319176,0.276136,0.244483,0.190161,0.261044,0.292007,0.241383,0.234502,0.205739,0.175220,5.768491,5.766482
500.000014,0.371698,0.245849,0.303109,0.265115,0.243734,0.184626,0.267376,0.291860,0.233362,0.255209,0.214006,0.174569,5.780821,5.778702
501.000014,0.359654,0.240413,0.305650,0.255080,0.260543,0.197861,0.308765,0.299733,0.229648,0.260081,0.219568,0.171674,5.792495,5.790306
502.000014,0.355855,0.246757,0.264573,0.244481,0.266806,0.198179,0.320495,0.286457,0.178069,0.257257,0.217298,0.164993,5.803006,5.800746
503.000014,0.344263,0.224671,0.242187,0.237152,0.287018,0.181454,0.314539,0.266469,0.199640,0.250436,0.217635,0.152484,5.812668,5.810380
504.000014,0.349727,0.212693,0.235556,0.255548,0.284928,0.162019,0.305970,0.261705,0.193429,0.240118,0.216809,0.148565,5.821322,5.819061
505.000014,0.347852,0.215343,0.263315,0.260134,0.288753,0.164365,0.274598,0.260402,0.206963,0.237523,0.222534,0.153821,5.828826,5.826545
506.000014,0.339687,0.241492,0.264600,0.252189,0.257093,0.183773,0.277193,0.270450,0.156674,0.231251,0.211802,0.165628,5.834920,5.832564
507.000014,0.330562,0.256560,0.252281,0.243322,0.256549,0.174254,0.260208,0.277615,0.157237,0.227479,0.213620,0.167929,5.840351,5.837865
508.000014,0.331592,0.243669,0.224996,0.219422,0.244526,0.168037,0.230813,0.274442,0.154135,0.208105,0.205467,0.168857,5.846015,5.843425
509.000014,0.328460,0.216961,0.202245,0.232325,0.241973,0.161951,0.230532,0.263889,0.186266,0.195472,0.217092,0.157033,5.853096,5.850440
510.000014,0.332752,0.209626,0.232986,0.243010,0.204286,0.172109,0.214704,0.256512,0.186330,0.212674,0.213238,0.156421,5.862613,5.859945
511.000014,0.328221,0.228320,0.250492,0.254183,0.247499,0.175026,0.258192,0.256937,0.182253,0.218015,0.214603,0.159130,5.873116,5.870321
512.000014,0.319892,0.246918,0.222918,0.215045,0.264034,0.179713,0.268756,0.245051,0.176638,0.218210,0.212529,0.167906,5.886174,5.883247
513.000014,0.301864,0.238483,0.198124,0.213180,0.277813,0.183437,0.301180,0.220870,0.161524,0.191330,0.217184,0.171364,5.899452,5.896472
514.000014,0.293202,0.234520,0.197878,0.208762,0.262937,0.198681,0.279267,0.211960,0.177959,0.185508,0.224168,0.173834,5.912814,5.909853
515.000014,0.303081,0.233377,0.210644,0.207239,0.277631,0.225358,0.269535,0.224530,0.183613,0.177348,0.226891,0.182651,5.925185,5.922104
516.000014,0.303590,0.250567,0.176957,0.209023,0.267617,0.243841,0.276297,0.232709,0.212772,0.180769,0.236001,0.169126,5.935367,5.932092
517.000014,0.300253,0.239897,0.166886,0.228495,0.252883,0.246871,0.274810,0.223621,0.191648,0.198308,0.240961,0.162311,5.944797,5.941490
518.000014,0.307734,0.248303,0.179592,0.264345,0.255951,0.232468,0.276669,0.222628,0.182565,0.212775,0.237108,0.152887,5.952785,5.949615
519.000014,0.300501,0.278028,0.219110,0.249252,0.289355,0.212842,0.294032,0.245962,0.168251,0.203086,0.225817,0.170347,5.959528,5.956350
520.000014,0.313363,0.286836,0.205601,0.220912,0.283359,0.206960,0.291118,0.272953,0.188816,0.184851,0.224587,0.182229,5.966610,5.963343
521.000014,0.295571,0.267852,0.204625,0.182246,0.275979,0.217137,0.299894,0.286413,0.192059,0.178850,0.221814,0.192721,5.971210,5.967676
522.000014,0.311568,0.235126,0.173807,0.186878,0.266007,0.249359,0.287872,0.267820,0.205453,0.187939,0.227007,0.194691,5.976692,5.973016
523.000014,0.295410,0.233029,0.174749,0.195190,0.251813,0.253575,0.305906,0.258035,0.192293,0.202064,0.227375,0.180647,5.981079,5.977240
524.000014,0.305196,0.255205,0.170211,0.233817,0.232471,0.246501,0.293238,0.259397,0.197782,0.210083,0.246741,0.164540,5.986978,5.983266
525.000014,0.299943,0.280321,0.196175,0.234600,0.240579,0.232066,0.289269,0.261467,0.185245,0.202619,0.246449,0.158759,5.994591,5.990948
526.000014,0.315723,0.282235,0.181003,0.235395,0.271943,0.248715,0.297131,0.269292,0.196901,0.212337,0.246198,0.168653,6.004622,6.000884
527.000014,0.301339,0.258219,0.173964,0.220219,0.265589,0.246848,0.308417,0.257622,0.207199,0.201784,0.242064,0.177158,6.016125,6.012142
528.000014,0.288990,0.215758,0.162364,0.201260,0.274692,0.263493,0.287398,0.272606,0.223662,0.226939,0.253551,0.171401,6.027409,6.023335
529.000014,0.279891,0.230527,0.194915,0.198607,0.272868,0.246546,0.270817,0.274710,0.230769,0.217654,0.261615,0.166230,6.037931,6.033864
530.000014,0.301474,0.246781,0.197355,0.173574,0.285456,0.256816,0.255578,0.298997,0.231664,0.229790,0.264824,0.175647,6.047078,6.042940
530.500026,0.296641,0.249380,0.174036,0.166335,0.265110,0.244676,0.275537,0.290054,0.229677,0.233037,0.255005,0.187704,6.054440,6.050106
531.000026,0.287884,0.219116,0.140970,0.184559,0.275221,0.251371,0.269688,0.291001,0.249037,0.247498,0.259248,0.193074,6.059706,6.055217
531.500026,0.265958,0.191221,0.135801,0.214118,0.276547,0.242483,0.268509,0.269971,0.233739,0.242830,0.260663,0.186606,6.064445,6.059931
532.000026,0.265813,0.185735,0.143880,0.240431,0.296056,0.253346,0.232451,0.275916,0.237224,0.244377,0.274365,0.176562,6.069219,6.064842
532.500026,0.259487,0.184826,0.175274,0.253978,0.272022,0.257714,0.231263,0.282572,0.228431,0.225207,0.265444,0.172259,6.074236,6.069958
533.000026,0.255998,0.197299,0.200123,0.264842,0.287712,0.256299,0.234071,0.286550,0.261695,0.227914,0.260177,0.172223,6.078349,6.074096
533.500026,0.257797,0.190536,0.255606,0.251401,0.302466,0.253151,0.267704,0.288658,0.274670,0.227699,0.253483,0.176264,6.081426,6.077150
534.000026,0.257560,0.189883,0.265516,0.217458,0.331483,0.250766,0.269431,0.287501,0.280930,0.233661,0.260420,0.182526,6.084492,6.080117
534.500026,0.275481,0.202284,0.253331,0.204990,0.356564,0.242850,0.271193,0.309379,0.280983,0.241857,0.268841,0.189970,6.088707,6.084239
535.000026,0.283520,0.213008,0.203456,0.208269,0.340625,0.228989,0.276364,0.317740,0.284457,0.237530,0.262838,0.196106,6.092749,6.088090
535.500026,0.283802,0.212816,0.177095,0.224637,0.340012,0.220820,0.275707,0.331951,0.287315,0.246886,0.259896,0.202551,6.095775,6.090995
536.000026,0.276109,0.198387,0.166042,0.222859,0.303079,0.223539,0.275697,0.328733,0.290354,0.253499,0.250265,0.202959,6.098490,6.093642
536.500026,0.271462,0.202875,0.154897,0.246535,0.307408,0.229658,0.258628,0.330741,0.269560,0.264430,0.260735,0.195605,6.102425,6.097543
537.000026,0.264402,0.191521,0.150423,0.254787,0.283961,0.237484,0.260261,0.319398,0.267244,0.282775,0.264187,0.183996,6.106432,6.101585
537.500026,0.254341,0.191624,0.192105,0.258926,0.304580,0.255138,0.245608,0.303300,0.257766,0.289927,0.279034,0.174615,6.109933,6.105180
538.000026,0.246640,0.184842,0.211462,0.252660,0.313008,0.259968,0.231447,0.284292,0.276406,0.296089,0.276726,0.175373,6.113325,6.108644
538.500026,0.250985,0.198725,0.237394,0.242482,0.340954,0.257288,0.222012,0.283143,0.263769,0.285342,0.270988,0.181398,6.118181,6.113545
