?? [s],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
491.000014,1.133574,0.606706,1.584167,1.037373,0.726212,0.344104,0.641863,0.250109,0.346817,0.264780
492.000014,1.091762,0.617477,1.562502,1.024076,0.742445,0.355071,0.634785,0.271396,0.356899,0.256934
493.000014,1.068523,0.640190,1.561844,1.007384,0.724055,0.363305,0.658119,0.289236,0.351618,0.256940
494.000014,1.005679,0.640760,1.595306,1.004055,0.712604,0.337303,0.714903,0.297760,0.344451,0.275972
495.000014,0.999293,0.632833,1.632645,1.002792,0.661135,0.344498,0.760500,0.290097,0.347070,0.295385
496.000014,0.971280,0.612463,1.630103,1.050562,0.679966,0.328114,0.785191,0.282147,0.355769,0.296097
497.000014,0.964411,0.597132,1.645534,1.054755,0.674176,0.320251,0.763526,0.307911,0.363200,0.309438
498.000014,0.950726,0.612250,1.675520,1.065835,0.693485,0.316317,0.773350,0.308130,0.360648,0.305041
499.000014,0.913837,0.624325,1.699630,1.052738,0.695801,0.333611,0.773781,0.323411,0.381588,0.297549
500.000014,0.942108,0.641293,1.697013,1.068017,0.699914,0.384830,0.813829,0.317587,0.769070,0.301987
501.000014,0.927715,0.662967,1.696359,1.066370,0.660707,0.371576,0.840900,0.320019,0.776355,0.274523
502.000014,0.977506,0.666348,1.719277,1.077000,0.643473,0.404878,0.872703,0.317466,0.773002,0.289663
503.000014,1.010451,0.662880,1.722442,1.089903,0.668148,0.401483,0.859311,0.345014,0.386121,0.277285
504.000014,1.073229,0.645326,1.722629,1.103755,0.730507,0.418883,0.842356,0.410624,0.383506,0.304102
505.000014,1.050106,0.689274,1.735964,1.092407,0.698455,0.403624,0.844690,0.437258,0.369034,0.310061
506.000014,1.022836,0.728242,1.762310,1.094088,0.639768,0.408892,0.895314,0.432998,0.387906,0.304246
507.000014,0.979660,0.773636,1.803506,1.122761,0.600003,0.420121,0.926878,0.401506,0.397704,0.315915
508.000014,0.994553,0.756762,1.804238,1.148391,0.616059,0.440271,0.924347,0.379717,0.420990,0.309748
509.000014,1.024790,0.743713,1.809641,1.167669,0.652549,0.457812,0.906369,0.391454,0.421790,0.336389
510.000014,1.051661,0.706980,1.782771,1.133319,0.670536,0.489079,0.935226,0.398498,0.437884,0.330050
511.000014,1.057303,0.734785,1.782328,1.150795,0.670989,0.493237,0.942880,0.420506,0.430471,0.337843
512.000014,0.993921,0.745384,1.776619,1.139009,0.662042,0.467693,0.966564,0.426428,0.428187,0.335828
513.000014,0.970916,0.799882,1.798280,1.161923,0.643982,0.437297,0.964824,0.440106,0.438763,0.338532
514.000014,0.989312,0.802741,1.810173,1.169568,0.669797,0.421242,0.971316,0.456528,0.457890,0.341936
515.000014,1.094984,0.825805,1.793654,1.216633,0.670152,0.422174,0.985058,0.459039,0.851393,0.331976
516.000014,1.073746,0.840587,1.790893,1.225391,0.670522,0.435931,1.005175,0.458667,1.600460,0.349075
517.000014,1.063280,0.861712,1.782695,1.241247,0.671431,0.444180,1.027858,0.471384,1.621236,0.360701
518.000014,1.058532,0.863119,1.807522,1.246129,0.664514,0.473333,1.037662,0.479928,1.257887,0.387103
519.000014,1.135920,0.830667,1.771705,1.261383,0.672782,0.475181,1.032455,0.500951,1.300441,0.382471
520.000014,1.061217,0.813372,1.749780,1.273144,0.641471,0.491599,1.063196,0.514544,1.935063,0.398303
521.000014,0.985354,0.858095,1.755243,1.225813,0.656355,0.512764,1.069966,0.492854,2.272958,0.385206
522.000014,0.941716,0.910120,1.766385,1.159462,0.671017,0.526217,1.045799,0.478908,1.505899,0.397931
523.000014,1.007535,0.962425,1.815562,1.169268,0.713277,0.499862,1.043172,0.474997,0.887606,0.408493
524.000014,1.080847,0.924793,1.835227,1.236377,0.759141,0.491821,1.038835,0.511204,0.567183,0.441156
525.000014,1.106604,0.875473,1.846129,1.320918,0.791175,0.509800,1.070022,0.536637,0.553841,0.443642
526.000014,1.149944,0.821642,1.820117,1.325623,0.791905,0.577433,1.093167,0.554793,0.541375,0.431813
527.000014,1.176923,0.837890,1.785754,1.316621,0.756633,0.594908,1.109035,0.567052,1.236293,0.407003
528.000014,1.158509,0.885429,1.814012,1.325687,0.742933,0.557052,1.130076,0.566684,1.261682,0.427244
529.000014,1.144192,0.929370,1.820394,1.357040,0.785917,0.496303,1.149690,0.563887,1.282253,0.447260
530.000014,1.122889,0.917895,1.837531,1.432181,0.808427,0.494118,1.148796,0.609550,1.352190,0.465647
530.500025,1.153370,0.895281,1.812540,1.494388,0.847243,0.491862,1.184327,0.656133,1.783835,0.456987
531.000025,1.096358,0.899885,1.815637,1.523598,0.836797,0.472089,1.160438,0.669300,1.803571,0.458208
531.500025,1.087300,0.933725,1.816031,1.516368,0.878981,0.436147,1.193568,0.649535,1.766203,0.485687
532.000025,1.079516,0.983368,1.842719,1.523480,0.881956,0.445166,1.159783,0.645411,1.369749,0.497678
532.500025,1.136714,1.010672,1.861794,1.546752,0.915145,0.456412,1.165084,0.681879,1.390744,0.513953
533.000025,1.148855,1.029704,1.880681,1.567980,0.969610,0.485065,1.165262,0.703789,0.717977,0.506073
533.500025,1.166468,1.015634,1.870699,1.572884,1.041593,0.531215,1.179138,0.727640,0.706011,0.512576
534.000025,1.193407,0.996435,1.880099,1.584228,1.072578,0.595876,1.202130,0.746691,0.694935,0.514386
534.500025,1.206233,0.968571,1.876296,1.578557,1.076394,0.630391,1.195123,0.763751,0.690359,0.527143
535.000025,1.223963,0.936821,1.888491,1.591047,1.065116,0.609433,1.214956,0.787198,1.153911,0.556022
535.500025,1.243029,0.922603,1.873432,1.601177,1.033658,0.603278,1.226698,0.798452,1.883438,0.553821
536.000025,1.260809,0.915362,1.876479,1.603620,1.014972,0.568330,1.255911,0.801203,2.297794,0.563660
536.500025,1.207510,0.931073,1.894555,1.607645,0.987658,0.546512,1.261819,0.776203,2.267584,0.561608
537.000025,1.118629,0.943867,1.924578,1.599455,1.022125,0.494085,1.259092,0.758896,1.578803,0.585724
537.500025,1.116253,0.997505,1.968814,1.646546,1.042325,0.522743,1.249557,0.782765,1.202761,0.604507
538.000025,1.159843,1.049171,2.006423,1.669077,1.106705,0.550576,1.259196,0.812086,0.829625,0.617331
538.500025,1.232241,1.083370,2.034201,1.662733,1.177157,0.628960,1.277492,0.830394,0.837079,0.631425
539.000025,1.230975,1.071955,2.036566,1.656306,1.216388,0.634064,1.305212,0.856109,0.833267,0.632630
539.500025,1.254328,1.018925,2.017639,1.651561,1.219969,0.659424,1.331010,0.876669,0.844711,0.664688
540.000025,1.264040,1.013207,1.993552,1.676486,1.189378,0.638751,1.349960,0.914638,0.859577,0.668394
540.500025,1.324508,1.004811,1.996912,1.648707,1.196824,0.665045,1.365361,0.912880,1.402386,0.678237
541.000025,1.312845,1.021622,1.998943,1.648813,1.210031,0.666546,1.353271,0.921537,1.427132,0.684293
541.500025,1.287911,1.007940,2.022107,1.656867,1.226197,0.684903,1.348720,0.902326,1.472646,0.691767
542.000025,1.267979,1.011800,2.034975,1.686379,1.232193,0.676435,1.360102,0.898266,0.975276,0.717553
542.500025,1.324080,1.042029,2.054176,1.675611,1.269284,0.675794,1.370383,0.885073,0.993232,0.724782
543.000025,1.365697,1.073645,2.080856,1.642472,1.339669,0.712184,1.374192,0.883272,1.007677,0.747313
543.500025,1.278216,1.108497,2.097137,1.656862,1.369924,0.740975,1.368427,0.912045,1.039069,0.760682
544.000025,1.245067,1.123558,2.116984,1.651104,1.440024,0.782703,1.380429,0.942838,1.052459,0.759903
544.500025,1.256737,1.123050,2.137184,1.702502,1.428266,0.796915,1.435121,1.000337,1.056254,0.767580
545.000025,1.314501,1.120446,2.130922,1.689300,1.463782,0.781974,1.453243,1.004831,1.086779,0.751390
545.500025,1.312103,1.105125,2.149010,1.759527,1.399767,0.789283,1.490634,1.035745,1.104402,0.759050
546.000025,1.321206,1.084896,2.136635,1.753643,1.436749,0.795367,1.507877,1.044078,1.133309,0.772238
546.500025,1.323855,1.073551,2.155279,1.761293,1.415227,0.851492,1.542096,1.073228,1.619886,0.795415
547.000025,1.365162,1.078113,2.124645,1.747234,1.452778,0.941860,1.526496,1.149409,1.653384,0.819334
547.500025,1.339545,1.107163,2.126480,1.724297,1.461634,0.975896,1.530828,1.224036,1.685567,0.863351
548.000025,1.334954,1.133040,2.124982,1.708916,1.553091,0.994831,1.541103,1.285131,1.234135,0.898810
548.500025,1.318808,1.166614,2.160775,1.709631,1.604202,0.964740,1.590619,1.307816,1.270684,0.925905
549.000025,1.345462,1.214692,2.198624,1.755262,1.685579,1.003648,1.644061,1.343106,1.318043,0.927379
549.500025,1.320992,1.273065,2.256783,1.824469,1.730299,1.100199,1.709605,1.427976,1.383288,0.952874
550.000025,1.316896,1.319385,2.337923,1.879281,1.763375,1.206815,1.791932,1.510402,1.459601,0.992542
550.500025,1.940153,1.765269,2.895050,2.688609,3.356404,3.142858,3.776501,4.357438,3.818780,2.971373
551.000025,2.306623,2.167216,3.414545,4.102534,5.041485,5.105311,5.869963,6.372751,6.227229,6.438944
551.500025,,2.588311,3.956894,4.891868,6.915697,7.067542,7.754317,8.473312,8.326436,9.027445
552.000025,3.281983,2.640690,4.058687,4.941203,7.293125,7.248819,7.975095,7.898935,9.127585,9.723220
552.500025,3.333557,2.719558,4.207049,4.334894,7.548421,7.358316,7.965946,8.306353,9.803181,9.115709
553.000025,3.246452,2.798121,4.354739,4.821515,7.753455,7.552527,8.230863,8.621140,10.388891,9.267196
553.500025,3.364959,2.835572,4.424956,5.402191,8.142519,7.855710,8.356842,9.075520,10.016536,9.725805
554.000025,3.355252,2.913215,4.503412,5.887531,8.279255,8.260653,8.757525,9.384122,10.147129,10.020378
554.500025,3.347299,2.992528,4.582124,5.789924,8.369858,8.533141,9.159334,9.814379,10.419600,10.812598
555.000025,3.374657,3.059702,4.730220,5.375176,8.414657,8.803175,9.288176,9.974842,11.014835,11.156958
555.500025,3.311080,3.141797,4.863703,5.010615,8.567343,8.959458,9.222812,9.906609,11.037862,11.663883
556.000025,3.304092,3.223976,5.011064,5.182415,8.596605,8.942287,9.397744,10.385540,11.314644,11.915406
556.500025,3.268825,3.440959,5.134548,4.926802,8.650173,9.090013,9.703660,10.551370,11.279144,12.119419
557.000025,3.388204,3.421192,5.213342,5.052148,8.905144,9.295805,10.188918,11.389517,11.828713,12.679262
557.500025,3.423773,3.656190,5.358251,4.875271,9.329352,9.887386,10.921296,12.113538,12.554200,14.332917
558.000025,3.460986,3.778064,5.482537,5.320631,9.899799,10.060710,12.095199,13.143915,13.583364,16.554308
558.500025,3.435350,3.718735,5.744233,5.127727,10.185797,10.482545,12.948027,14.843130,14.267145,18.337666
559.000025,3.486874,3.580156,5.912419,4.962218,10.654059,10.866170,13.414457,13.929142,14.785490,18.247532
559.500025,3.628078,2.978231,6.683272,,11.460573,11.254493,13.349505,15.173062,13.687291,18.040454
560.000025,3.952835,2.877333,7.030544,,12.143779,11.362463,13.500936,14.198103,13.100953,
560.500025,3.921198,2.603622,,,,,,,,
561.000025,3.774080,2.795485,,,,,,,,
561.500025,3.472115,2.793374,,,,,,,,
562.000025,4.023481,2.680152,,,,,,,,
562.500025,4.623908,2.631600,,,,,,,,
563.000025,4.457742,2.584802,,,,,,,,
563.500025,3.985353,2.652149,,,,,,,,
564.000025,3.392083,2.686828,,,,,,,,
564.500025,3.499439,2.737767,,,,,,,,
565.000025,3.450997,2.764617,,,,,,,,
565.500025,3.462788,2.776895,,,,,,,,
566.000025,3.532933,2.691468,,,,,,,,
566.500025,3.468871,2.725803,,,,,,,,
567.000025,3.438294,2.660813,,,,,,,,
567.500025,3.442259,2.744608,,,,,,,,
568.000025,3.523505,2.742037,,,,,,,,
568.500025,3.571968,2.780061,,,,,,,,
569.000025,3.533757,2.799135,,,,,,,,
569.500025,3.508540,2.784751,,,,,,,,
570.000025,,,,,,,,,,
