?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],B1.eps1 [%]
506.000014,0.897368,0.544067,0.509386,0.271587,0.514780,0.487317,0.408577,0.562971,0.445970,0.598397,0.565422,0.374224,0.181136,0.469505,0.306395,0.413927,0.043469
507.000014,0.898095,0.567111,0.508843,0.285351,0.522170,0.486731,0.420604,0.566355,0.434643,0.579388,0.580178,0.384822,0.177440,0.475621,0.311571,0.417547,0.042744
508.000014,0.902736,0.565280,0.466678,0.302672,0.527542,0.482227,0.444414,0.571769,0.420319,0.551289,0.582499,0.374421,0.169627,0.483496,0.319112,0.407619,0.055176
509.000014,0.896344,0.569770,0.427963,0.292793,0.530878,0.460570,0.448594,0.575577,0.431579,0.557109,0.584443,0.365258,0.146714,0.487647,0.346704,0.404883,0.060348
510.000014,0.895333,0.559131,0.437277,0.294784,0.538403,0.450415,0.442426,0.591643,0.454284,0.580669,0.589166,0.345262,0.138493,0.485948,0.353902,0.406093,0.068678
511.000014,0.902915,0.557717,0.463810,0.287311,0.539522,0.457500,0.438297,0.587251,0.471172,0.658617,0.583191,0.370529,0.258795,0.496187,0.356957,0.402151,0.055045
512.000014,0.905471,0.567912,0.503993,0.275433,0.543279,0.477657,0.398042,0.584679,0.461301,0.609372,0.586454,0.386419,0.288549,0.504405,0.334619,0.408457,0.053812
513.000014,0.913511,0.578134,0.489817,0.282172,0.544841,0.474914,0.398639,0.577737,0.464025,0.596076,0.579495,0.405984,0.303312,0.502128,0.345843,0.417535,0.050627
514.000014,0.912741,0.590606,0.479044,0.289320,0.552233,0.493847,0.389409,0.582654,0.466921,0.577421,0.593603,0.400831,0.274571,0.505891,0.338233,0.436607,0.060043
515.000014,0.937914,0.592972,0.439568,0.301752,0.567963,0.493241,0.433830,0.599878,0.470045,0.601063,0.601836,0.409691,0.264211,0.505096,0.352857,0.446699,0.058357
516.000014,0.954849,0.592260,0.443043,0.303214,0.578393,0.496905,0.466370,0.612873,0.466661,0.625072,0.614648,0.409936,0.260765,0.518189,0.356466,0.449798,0.056399
517.000014,0.974742,0.592963,0.432559,0.292159,0.584037,0.473958,0.477639,0.614545,0.476080,0.566577,0.608673,0.423134,0.143510,0.515223,0.361185,0.468284,0.051812
518.000014,0.983203,0.601713,0.462856,0.293043,0.580295,0.485125,0.472908,0.612656,0.487869,0.582386,0.616436,0.433667,0.149100,0.521142,0.348880,0.472678,0.046453
519.000014,0.996711,0.614926,0.582532,0.280426,0.583266,0.501760,0.775169,0.616739,0.479505,0.577930,0.624571,0.446937,0.272246,0.523012,0.332805,0.469031,0.046154
520.000014,1.016092,0.636833,0.603809,0.303614,0.588844,0.497884,0.795667,0.627775,0.467402,0.555333,0.646837,0.436965,0.304456,0.536943,0.344503,0.451210,0.050624
521.000014,1.026193,0.636306,0.598943,0.316995,0.602897,0.480195,0.807607,0.642923,0.463781,0.510447,0.653613,0.422151,0.300418,0.550392,0.371631,0.451589,0.057977
522.000014,1.033168,0.643827,0.584344,0.329537,0.608731,0.474174,0.814816,0.652318,0.483476,0.455704,0.653942,0.426709,0.170241,0.556025,0.383174,0.456802,0.050802
523.000014,1.033515,0.627894,0.571408,0.307359,0.610057,0.494267,0.795813,0.660900,0.504535,0.474195,0.650009,0.441705,0.141651,0.557299,0.375743,0.455007,0.047205
524.000014,1.037052,0.623125,0.556289,0.287336,0.596478,0.507590,0.765024,0.653899,0.521525,0.600904,0.648294,0.465997,0.240321,0.556193,0.362241,0.467402,0.036690
525.000014,1.056573,0.635940,0.452558,0.271677,0.605219,0.527036,0.428686,0.650165,0.512174,0.628776,0.651998,0.467128,0.366057,0.554185,0.366884,0.455388,0.045412
526.000014,1.068627,0.659472,0.568694,0.295196,0.618037,0.512517,0.776339,0.653625,0.494084,0.645417,0.660340,0.463529,0.392691,0.555172,0.379089,0.475996,0.054547
527.000014,1.085153,0.660451,0.577891,0.303899,0.627656,0.514534,0.793047,0.659651,0.504128,0.606798,0.661430,0.475026,0.402002,0.561021,0.365130,0.480153,0.055773
528.000014,1.088946,0.659783,0.573314,0.311921,0.628290,0.517219,0.799550,0.666911,0.506488,0.542910,0.675816,0.489910,0.297016,0.577821,0.355451,0.493203,0.053957
529.000014,1.094901,0.662715,0.463816,0.316586,0.633337,0.513618,0.490941,0.670368,0.507580,0.508217,0.685772,0.500433,0.313097,0.593654,0.364224,0.486055,0.053282
530.000014,1.104290,0.673592,0.452392,0.303927,0.649448,0.512534,0.514415,0.686941,0.519807,0.516323,0.693048,0.497185,0.319487,0.592910,0.385462,0.477496,0.054834
531.000014,1.115403,0.664699,0.464945,0.298793,0.656379,0.501420,0.527234,0.703998,0.545837,0.620118,0.693469,0.505709,0.407755,0.586732,0.385136,0.488108,0.049285
532.000014,1.119919,0.666571,0.462102,0.277949,0.661976,0.527966,0.489361,0.719456,0.565309,0.706484,0.705155,0.514801,0.492984,0.588742,0.362330,0.486288,0.043836
533.000014,1.120566,0.681771,0.469036,0.296719,0.657097,0.543993,0.470666,0.714436,0.556483,0.679755,0.717686,0.515501,0.509309,0.597151,0.371067,0.462631,0.047523
534.000014,1.125261,0.700142,0.484712,0.296834,0.660728,0.539150,0.450516,0.718994,0.539706,0.578772,0.730765,0.509592,0.417393,0.603598,0.395795,0.453081,0.064788
535.000014,1.151736,0.699933,0.489272,0.308110,0.661502,0.526319,0.463797,0.723299,0.531392,0.498007,0.729370,0.504843,0.322540,0.602834,0.425420,0.452151,0.072415
536.000014,1.167088,0.695343,0.498240,0.300942,0.667583,0.520642,0.456956,0.735542,0.545662,0.526961,0.732185,0.520374,0.320978,0.594882,0.417540,0.491873,0.065541
537.000014,1.187053,0.700834,0.496867,0.304114,0.678948,0.535622,0.473869,0.738690,0.550343,0.532482,0.738754,0.527597,0.337187,0.605562,0.404543,0.485730,0.065357
538.000014,1.201024,0.705085,0.504839,0.306596,0.693120,0.538735,0.481454,0.757004,0.564549,0.568368,0.746541,0.536294,0.309313,0.613462,0.403648,0.487477,0.055514
539.000014,1.213937,0.714658,0.506411,0.310056,0.703782,0.538676,0.502027,0.766703,0.573475,0.569351,0.761574,0.537600,0.293458,0.639949,0.410709,0.487026,0.060277
540.000014,1.223904,0.710647,0.490291,0.312741,0.711452,0.540923,0.499819,0.776765,0.587147,0.690053,0.761025,0.560777,0.398418,0.642273,0.408158,0.500139,0.048034
541.000014,1.237151,0.720867,0.478914,0.292598,0.716127,0.569210,0.479270,0.778349,0.583334,0.711693,0.770120,0.580385,0.560139,0.634398,0.384016,0.503255,0.050026
542.000014,1.260162,0.734321,0.484840,0.290287,0.725821,0.585023,0.460186,0.778831,0.563564,0.603896,0.779524,0.575490,0.468447,0.641318,0.387952,0.487078,0.055470
543.000014,1.266010,0.742359,0.483219,0.294091,0.736847,0.574202,0.487888,0.790418,0.564857,0.543427,0.794948,0.554394,0.452990,0.656000,0.409235,0.488645,0.062705
544.000014,1.272809,0.745308,0.502855,0.310043,0.751515,0.545912,0.517639,0.798623,0.572030,0.503767,0.792751,0.545646,0.346391,0.666788,0.445094,0.489589,0.062995
545.000014,1.277657,0.728196,0.493436,0.306897,0.754419,0.527975,0.538532,0.823634,0.588380,0.577650,0.797128,0.567347,0.333697,0.668697,0.442438,0.511290,0.056018
546.000014,1.295685,0.720016,0.494691,0.310706,0.756162,0.541680,0.528302,0.833521,0.609991,0.671038,0.801603,0.584141,0.356750,0.669319,0.438070,0.516735,0.044712
