?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
455.000014,0.746030,1.178533,0.696537,0.526187,1.189002,0.555107,0.566850,0.708611,0.409292,0.411010,0.407420,0.608454,0.763558,0.784558,0.672340,0.503783,0.748220,0.606904,0.871518,0.648260
456.000014,0.784670,1.187222,0.758201,0.533494,1.083275,0.566070,0.626161,0.678113,0.397610,0.382192,0.428762,0.567922,0.752095,0.837519,0.693090,0.536701,0.753667,0.608848,0.867124,0.676391
457.000014,0.775467,1.198852,0.821995,0.553708,1.080452,0.567106,0.603952,0.682191,0.401133,0.368569,0.425126,0.562835,0.760200,0.867000,0.696637,0.549612,0.760696,0.639805,0.878765,0.708884
458.000014,0.799300,1.206942,0.854212,0.568679,1.145515,0.568318,0.586958,0.676190,0.409092,0.392342,0.411650,0.561122,0.774558,0.879743,0.688862,0.593461,0.782637,0.676378,0.913876,0.720816
459.000014,0.814980,1.215092,0.853313,0.553417,1.332120,0.581654,0.549696,0.678690,0.411111,0.399296,0.404296,0.582611,0.796740,0.860846,0.687084,0.606086,0.791376,0.711174,0.936898,0.713479
460.000014,0.846861,1.196006,0.890461,0.554088,1.306656,0.596557,0.569966,0.676283,0.407120,0.442309,0.411835,0.610589,0.795127,0.863615,0.676422,0.644122,0.819047,0.714369,0.926272,0.704812
461.000014,0.851077,1.163411,0.923515,0.528935,1.264047,0.628468,0.633951,0.661732,0.396320,0.405304,0.468355,0.660382,0.789239,0.857573,0.691662,0.656489,0.816804,0.699630,0.909044,0.718815
462.000014,0.883408,1.094177,0.968070,0.554141,1.310300,0.651643,0.637727,0.675036,0.400737,0.418335,0.503560,0.697529,0.758167,0.902623,0.699459,0.697467,0.851731,0.708545,0.917528,0.743062
463.000014,0.905126,1.056746,0.944099,0.539156,1.258257,0.674899,0.580033,0.657227,0.415794,0.417758,0.519846,0.741115,0.740321,0.867508,0.704877,0.732088,0.905969,0.737674,0.940647,0.778409
464.000014,0.917117,1.038724,0.897329,0.557637,1.160096,0.690847,0.583651,0.645554,0.419136,0.402929,0.501899,0.789455,0.719143,0.860621,0.719345,0.776755,0.918269,0.766766,0.963908,0.816418
465.000014,0.876051,1.081139,0.785897,0.524273,1.123501,0.694346,0.605095,0.624048,0.424716,0.323654,0.507066,0.837425,0.709879,0.827549,0.743225,0.814575,0.990636,0.817191,0.979754,0.855286
