?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
515.000014,4.579391,4.712780,4.565162,4.598505,4.593856,4.609095,4.636187,4.620224,4.710043,4.590991
516.000014,4.582700,4.717624,4.569012,4.600435,4.594164,4.610661,4.638876,4.622303,4.712881,4.593825
517.000014,4.585317,4.721263,4.571784,4.605640,4.602822,4.620314,4.643007,4.627189,4.718235,4.597450
518.000014,4.590747,4.726606,4.576309,4.607884,4.604614,4.624702,4.645076,4.629331,4.721437,4.599842
519.000014,4.597849,4.733552,4.582333,4.614889,4.609657,4.627510,4.652416,4.636319,4.729322,4.606282
520.000014,4.606526,4.743148,4.590851,4.623151,4.617040,4.636039,4.660631,4.644544,4.738287,4.613531
521.000014,4.616516,4.754988,4.601361,4.633177,4.629310,4.640507,4.672249,4.655422,4.749836,4.633311
522.000014,4.627303,4.767582,4.611879,4.646897,4.641251,4.661479,4.686024,4.669211,4.765110,4.639183
523.000014,4.639917,4.782436,4.624721,4.656519,4.643870,4.668657,4.695168,4.678505,4.776874,4.648423
524.000014,4.652323,4.796807,4.636865,4.672038,4.666257,4.682897,4.711221,4.694629,4.794314,4.663227
525.000014,4.665650,4.812868,4.650028,4.683019,4.679017,4.694858,4.724297,4.706408,4.808101,4.677007
526.000014,4.677349,4.826486,4.661155,4.696956,4.694165,4.713584,4.737229,4.719763,4.823936,4.688999
527.000014,4.688005,4.838904,4.671320,4.706488,4.702299,4.717685,4.747995,4.729678,4.835441,4.697554
528.000014,4.695788,4.849538,4.680513,4.714764,4.709087,4.725830,4.756731,4.738381,4.845312,4.706784
529.000014,4.703051,4.859056,4.687914,4.723724,4.718143,4.735209,4.766149,4.747755,4.856163,4.716993
530.000014,4.707780,4.866873,4.693791,4.729561,,4.743895,4.771849,4.753666,4.863373,4.722992
530.500026,4.713459,4.872480,4.697796,4.733355,4.729173,4.749037,4.776011,4.757186,4.868213,4.726011
531.000026,4.716876,4.876938,4.701236,4.737419,4.730518,4.751691,4.779933,4.761112,4.872546,4.729398
531.500026,4.721547,4.881402,4.704999,4.740511,4.735612,4.753103,4.782618,4.764476,4.876437,4.731758
532.000026,4.723912,4.885420,4.708761,4.744798,4.739494,4.759598,4.787159,4.768543,4.881129,4.734830
532.500026,4.727597,4.889202,4.711814,4.747823,4.743106,4.761010,4.790183,4.771925,4.884760,4.738407
533.000026,4.728512,4.890486,4.712679,4.749839,4.745534,4.760074,4.793428,4.774067,4.887482,4.740125
533.500026,4.729901,4.892072,4.713371,4.747559,4.740403,4.759448,4.790737,4.771908,4.885751,4.737680
534.000026,4.732052,4.894485,4.715643,4.750730,4.744944,4.759990,4.793112,4.775097,4.889182,4.749077
