?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
745.500026,6.787046,6.968444,6.779964
746.000026,6.787294,6.969469,6.780607
746.500026,6.787063,6.969763,6.780469
747.000026,6.787621,6.970805,6.781158
747.500026,6.789418,6.973007,6.783003
748.000026,6.792312,6.976624,6.786275
748.500026,6.794823,6.980030,6.789201
749.000026,6.796470,6.982728,6.791289
749.500026,6.797789,6.985232,6.793115
750.000026,6.800236,6.989052,6.796104
750.500026,6.804753,6.995402,6.801167
751.000026,6.810621,7.003427,6.807789
751.500026,6.817844,7.013189,6.815812
752.000026,6.824701,7.022927,6.823793
752.500026,6.830387,7.032120,6.830598
753.000026,6.834681,7.040477,6.836323
753.500026,6.838819,7.049185,6.841976
754.000026,6.843914,7.059080,6.848812
754.500026,6.849294,7.069644,6.855981
755.000026,6.854000,7.079853,6.862744
755.500026,6.857451,7.089400,6.868645
756.000026,6.859606,7.097897,6.873579
756.500026,6.861552,7.106580,6.878507
757.000026,6.855848,7.120073,6.884399
757.500026,6.853420,7.127318,6.887766
758.000026,,,
758.500026,1.745452,11.159490,1.783043
759.000026,1.746071,11.152433,1.782586
759.500026,1.747826,11.142443,1.783682
760.000026,1.743833,11.129381,1.779070
760.500026,1.742068,11.120544,1.777637
761.000026,1.743908,11.115095,1.779221
761.500026,1.745003,11.110237,1.780492
762.000026,1.744864,11.107083,1.780320
762.500026,1.742897,11.103175,1.778217
763.000026,1.741513,11.101154,1.776814
763.500026,1.742032,11.100449,1.777288
764.000026,1.743460,11.100576,1.778638
764.500026,1.744702,11.101143,1.779763
765.000026,,,
