?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
712.500026,6.560319,6.759531,6.514394
713.000026,6.567071,6.768200,6.520266
713.500026,6.573459,6.776710,6.525543
714.000026,6.580180,6.785261,6.530474
714.500026,6.585609,6.792825,6.534472
715.000026,6.590554,6.799755,6.537883
715.500026,6.594418,6.806082,6.541003
716.000026,6.598329,6.812026,6.544006
716.500026,6.601517,6.817374,6.546659
717.000026,6.604507,6.821997,6.548862
717.500026,6.606955,6.826005,6.550594
718.000026,6.609226,6.829755,6.552270
718.500026,6.611147,6.833104,6.553587
719.000026,6.613661,6.836920,6.555521
719.500026,6.616164,6.840672,6.557382
720.000026,6.618961,6.844715,6.559540
720.500026,6.621492,6.848533,6.561424
721.000026,6.624427,6.852713,6.563651
721.500026,6.627184,6.856673,6.565551
722.000026,6.629662,6.860398,6.567203
722.500026,6.632150,6.864093,6.568859
723.000026,6.635078,6.868448,6.571122
723.500026,6.639001,6.874046,6.574243
724.000026,6.643758,6.880993,6.578267
724.500026,6.649480,6.889098,6.582792
725.000026,6.655707,6.898145,6.587543
725.500026,6.661902,6.907287,6.591659
726.000026,6.667252,6.915757,6.595108
726.500026,6.671298,6.922787,6.597346
727.000026,6.674922,6.929241,6.599533
727.500026,6.678476,6.935740,6.601765
728.000026,6.682111,6.942262,6.604051
728.500026,6.684465,6.947363,6.605126
729.000026,6.685608,6.950961,6.605023
729.500026,6.686396,6.953851,6.604827
730.000026,6.687807,6.957248,6.605423
730.500026,6.689758,6.960871,6.606623
731.000026,6.691563,6.964214,6.607624
731.500026,6.693736,6.967506,6.608518
732.000026,6.695482,6.970781,6.609413
732.500026,6.697723,6.974627,6.610914
733.000026,6.699888,6.978983,6.612608
733.500026,6.703710,6.984871,6.615110
734.000026,6.708113,6.992073,6.617613
734.500026,6.713159,7.000618,6.620178
735.000026,6.718256,7.010206,6.622208
735.500026,6.723335,7.020507,6.623600
736.000026,6.728078,7.031114,6.624316
736.500026,6.732205,7.041586,6.624268
737.000026,6.735780,7.051988,6.623454
737.500026,6.738665,7.061855,6.621595
738.000026,6.741112,7.071195,6.619134
738.500026,6.743727,7.080392,6.616384
739.000026,6.746626,7.090079,6.613231
739.500026,6.749023,7.100179,6.608027
740.000026,6.750323,7.111188,6.597741
740.500026,5.118065,8.372597,4.989944
741.000026,3.494920,9.676710,3.394247
741.500026,1.867287,10.998538,1.799860
742.000026,1.868041,11.075718,1.799867
742.500026,1.858349,11.113107,1.789587
743.000026,1.853363,11.130788,1.784036
743.500026,1.852160,11.139948,1.782592
744.000026,1.853112,11.144520,1.783447
744.500026,1.854035,11.146987,1.784413
745.000026,1.854461,11.147563,1.784923
745.500026,1.853407,11.145777,1.784010
746.000026,1.852323,11.144230,1.783066
