?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
550.875961,5.368382,5.510285,5.389920,5.508217,5.524599
551.375961,5.372728,5.515352,5.394460,5.513309,5.529653
551.875961,5.376686,5.520451,5.398326,5.518451,5.534802
552.375961,5.379182,5.523487,5.400684,5.521832,5.538017
552.875961,5.382089,5.528175,5.404688,5.526295,5.542427
553.375961,5.383381,5.529894,5.405624,5.528277,5.544313
553.875961,5.387688,5.535233,5.410335,5.533127,5.549241
554.375961,5.389578,5.537669,5.412059,5.535421,5.551669
554.875961,5.391529,5.540093,5.413879,5.537899,5.554007
555.375961,5.391581,5.540493,5.414124,5.538572,5.554713
555.875961,5.395553,5.545155,5.418195,5.543194,5.559365
556.375961,5.399313,5.549352,5.422086,5.547244,5.563834
556.875961,5.401206,5.551994,5.424367,5.549671,5.566318
557.375961,5.401493,5.552836,5.424614,5.550573,5.566983
557.875961,5.400664,5.552168,5.423700,5.549814,5.566294
558.375961,5.401704,5.553700,5.425060,5.551370,5.567976
558.875961,5.404385,5.556759,5.427773,5.554407,5.570956
559.375961,5.407954,5.560555,5.431758,5.558246,5.574749
559.875961,5.407845,5.560704,5.431474,5.558368,5.574892
560.375961,5.407480,5.560866,5.431155,5.558517,5.575050
560.875961,5.410463,5.564263,5.434480,5.562076,5.578820
561.375961,5.416905,5.571444,5.440855,5.569357,5.586082
561.875961,5.449436,5.603052,5.472680,5.600420,5.616550
562.375961,5.454341,5.608405,5.477961,5.605961,5.622249
562.875961,5.458830,5.613255,5.482813,5.611019,5.627433
563.375961,5.465400,5.620118,5.488901,5.618382,5.634695
563.875961,5.469970,5.625374,5.493426,5.623552,5.640016
564.375961,5.473204,5.629513,5.496600,5.627841,5.644049
564.875961,5.475528,5.633435,5.499495,5.631328,5.647785
565.375961,5.480306,5.639460,5.504667,5.637150,5.653795
565.875961,5.483764,5.643831,5.508041,5.641190,5.658202
566.375961,5.487607,5.649007,5.511914,5.646562,5.663681
566.875961,5.488509,5.651111,5.513036,5.648722,5.665690
567.375961,5.492449,5.656168,5.516831,5.653632,5.670881
567.875961,5.495076,5.660328,5.520000,5.658050,5.675178
568.375961,5.500584,5.667450,5.525737,5.665228,5.682227
568.875961,5.501328,5.669733,5.527008,5.667813,5.684808
569.375961,5.503710,5.673489,5.529632,5.671263,5.688571
569.875961,5.504791,5.675830,5.531205,5.674044,5.690982
570.375961,5.508319,5.680948,5.534977,5.678751,5.695433
570.875961,5.509733,5.682936,5.535921,5.680940,5.697665
571.375961,5.511600,5.686033,5.538437,5.683679,5.700871
571.875961,5.512191,5.687497,5.538959,5.685070,5.702198
572.375961,5.515397,5.691824,5.542259,5.689137,5.706425
572.875961,5.518275,5.695532,5.545129,5.692748,5.710122
573.375961,5.518469,5.696229,5.545549,5.693870,5.711309
573.875961,5.520290,5.698847,5.547839,5.696343,5.713658
574.375961,5.518728,5.697694,5.546190,5.695493,5.712843
574.875961,5.522045,5.701920,5.549772,5.699236,5.716758
575.375961,5.522993,5.703178,5.550629,5.700911,5.718456
575.875961,5.526344,5.707559,5.554249,5.705271,5.723026
576.375961,5.527141,5.709242,5.555127,5.706895,5.724539
576.875961,5.530125,5.712892,5.557963,5.710726,5.728202
577.375961,5.566368,5.748457,5.594049,5.745831,5.763109
577.875961,5.574666,5.757102,5.601981,5.754937,5.772294
578.375961,5.578739,5.762122,5.606991,5.760193,5.777530
578.875961,5.581106,5.765646,5.609262,5.763689,5.780934
579.375961,5.587692,5.773345,5.615608,5.771601,5.788782
579.875961,5.593321,5.781040,5.621850,5.778951,5.796144
580.375961,5.599653,5.789698,5.628922,5.787380,5.805134
580.875961,5.599839,5.792080,5.628822,5.789574,5.807313
581.375961,5.600868,5.795205,5.630765,5.792958,5.810897
581.875961,5.603272,5.799456,5.633001,5.797258,5.814920
582.375961,5.607449,5.806291,5.637979,5.803977,5.821838
582.875961,5.609348,5.809870,5.640102,5.808074,5.825856
583.375961,5.610060,5.812285,5.640778,5.810125,5.827559
583.875961,5.610306,5.814201,5.641377,5.812868,5.830719
584.375961,5.612876,5.818285,5.644325,5.816436,5.834174
584.875961,5.614235,5.821418,5.645690,5.819133,5.836907
585.375961,5.615802,5.824103,5.647167,5.821542,5.839277
585.875961,5.617347,5.826466,5.648503,5.824339,5.841941
586.375961,5.617006,5.827801,5.648575,5.825575,5.843373
586.875961,5.621116,5.832865,5.652884,5.830597,5.848442
587.375961,5.622244,5.835218,5.654037,5.832627,5.850534
587.875961,5.623928,5.837727,5.655835,5.835334,5.852991
588.375961,5.621158,5.835765,5.652975,5.833243,5.851342
588.875961,5.624913,5.840621,5.657435,5.838400,5.856376
589.375961,5.625325,5.841361,5.657386,5.839072,5.857193
589.875961,5.626339,5.843587,5.658682,5.841087,5.859330
590.375961,5.623040,5.841017,5.655648,5.838527,5.856624
590.875961,5.627634,5.846847,5.660712,5.844351,5.862442
591.375961,5.632210,5.851258,5.664183,5.849015,5.867496
591.875961,5.634475,5.855159,5.667089,5.852617,5.870865
592.375961,5.631597,5.853755,5.664304,5.851447,5.869656
592.875961,5.633701,5.857271,5.666251,5.855127,5.873223
593.375961,5.641556,5.866738,5.674450,5.864935,5.882737
593.875961,5.679509,5.904867,5.711841,5.902413,5.920417
594.375961,5.685409,5.911377,5.717748,5.909232,5.927187
594.875961,5.689961,5.918319,5.722849,5.915749,5.933573
595.375961,5.694863,5.926031,5.727769,5.923370,5.941660
595.875961,5.702022,5.937850,5.735481,5.935323,5.953940
596.375961,5.706002,5.946989,5.739577,5.944257,5.963008
596.875961,5.704874,5.950731,5.738420,5.948405,5.966676
597.375961,5.706992,5.958939,5.741541,5.956798,5.974805
597.875961,5.709317,5.965705,5.743384,5.963592,5.981478
598.375961,5.712073,5.973569,5.746483,5.971138,5.988617
598.875961,5.713640,5.979416,5.748247,5.976761,5.994906
599.375961,5.714712,5.984570,5.749535,5.981871,6.000068
599.875961,5.714319,5.988084,5.749547,5.985304,6.003845
600.375961,5.715711,5.993331,5.751249,5.990877,6.009418
600.875961,5.715931,5.996954,5.751487,5.994740,6.013068
601.375961,5.717600,6.002076,5.753407,5.999873,6.017906
601.875961,5.716816,6.004783,5.753187,6.002373,6.020540
602.375961,5.717573,6.008459,5.754229,6.006379,6.024504
602.875961,5.718726,6.012622,5.755389,6.010762,6.028321
603.375961,5.718669,6.015533,5.755681,6.013439,6.031227
603.875961,5.718538,6.018751,5.755826,6.016262,6.034400
604.375961,5.719897,6.022906,5.756859,6.020622,6.038396
604.875961,5.719010,6.024798,5.755839,6.022182,6.039864
605.375961,5.718151,6.025932,5.754809,6.022746,6.041016
605.875961,5.717307,6.026808,5.754012,6.023960,6.041867
606.375961,5.715756,6.026764,5.752760,6.024115,6.042074
606.875961,5.716863,6.029318,5.753619,6.026603,6.044651
607.375961,5.717412,6.031658,5.754757,6.028687,6.046505
607.875961,5.717254,6.032835,5.754625,6.030141,6.048269
608.375961,5.717907,6.034974,5.755361,6.032130,6.049964
608.875961,5.719166,6.037991,5.756344,6.035187,6.053112
609.375961,5.719591,6.040441,5.756753,6.037791,6.056104
609.875961,5.720976,6.044614,5.757916,6.042147,6.059947
610.375961,5.723145,6.050702,5.760169,6.048445,6.066149
610.875961,5.722706,6.055784,5.759331,6.053271,6.070903
611.375961,5.725840,6.066951,5.762257,6.064144,6.081556
611.875961,5.722929,6.076098,5.758808,6.072953,6.090526
612.375961,5.722886,6.093065,5.757301,6.090210,6.107756
612.875961,5.718284,6.110636,5.748389,6.108230,6.124251
613.375961,5.713804,6.133512,5.734387,6.130333,6.146408
613.875961,2.215099,8.819220,2.236954,8.818018,8.817450
614.375961,2.189393,8.821869,2.210371,8.820352,8.822756
614.875961,2.190928,8.825874,2.210576,8.825519,8.828150
615.375961,2.187207,8.822233,2.206834,8.821301,8.824410
615.875961,2.193079,8.829202,2.212202,8.828010,8.831054
616.375961,2.189950,8.831335,2.208883,8.830492,8.833171
616.875961,2.191002,8.836189,2.209731,8.835239,8.838684
617.375961,2.185837,8.838167,2.204959,8.837199,8.840367
617.875961,2.187043,8.846303,2.206205,8.845442,8.848455
618.375961,2.186870,8.849134,2.205866,8.849063,8.851778
618.875961,2.189929,8.851180,2.208223,8.851048,8.853547
